title,author,coverImage,songUrl,arousal,valence
Happy Together,The Turtles,"https://m.media-amazon.com/images/I/71Uh3hrVqGL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=9ZEURntrQOg",0.5248432159423828,0.6183820962905884
Here Comes The Sun,The Beatles,"https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","https://www.youtube.com/watch?v=KQetemT1sWc",0.46331846714019775,0.599497377872467
Hero,Mariah Carey,"https://m.media-amazon.com/images/I/41M8zRYXjgL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=0IA3ZvCkRkQ",0.4707988202571869,0.48898276686668396
Hey Jude,The Beatles,"https://m.media-amazon.com/images/M/MV5BNjBlYjgzYTMtY2I2OS00YjE4LTk4ZTgtOTg2N2UwMWRmMjFlXkEyXkFqcGc@._V1_.jpg","https://www.youtube.com/watch?v=A_MjCqQoLLA",0.6017580628395081,0.619317889213562
A Horse With No Name,America,"https://images.saymedia-content.com/.image/ar_4:3%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:eco%2Cw_1200/MjA4ODE0OTI5NzU3Njc2ODUx/music-folk-song-1971-america-horse-with-no-name.jpg","https://www.youtube.com/watch?v=oIYgsqhwXzM",0.4101610779762268,0.5862524509429932
How Sweet It Is (To Be Loved By You),James Taylor,"https://images.genius.com/cd1c7ff92c683dbf42cf213590d491c2.1000x1000x1.jpg","https://www.youtube.com/watch?v=Wh__udyczFM",0.37580299377441406,0.5913853645324707
I Believe I Can Fly,R. Kelly,"https://i.scdn.co/image/ab67616d0000b273a8fb30884b48bb87faef10e4","https://www.youtube.com/watch?v=4qPOWeA-L5I",0.4301537275314331,0.5177707672119141
I Can See Clearly Now!,Lee Towers,"https://i.scdn.co/image/ab67616d0000b273305ee666d24e51a730d9b9e1","https://www.youtube.com/watch?v=N5O2Q8K5hPA",0.5071009993553162,0.6155919432640076
I Have A Dream,ABBA,"https://shop.udiscovermusic.com/cdn/shop/products/ABBA_I_Have_A_Dream_Picture_Disc.jpg?v=1551298296","https://www.youtube.com/watch?v=ER_3h03omdE",0.4447541832923889,0.5914624929428101
I Will Remember You,Sarah Mclachlan,"https://m.media-amazon.com/images/I/71TJhuG5FtL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=nSz16ngdsG0",0.27216488122940063,0.4524829089641571
I'd Like To Teach The World To Sing,,"https://i.scdn.co/image/ab67616d0000b273c77a1d5aca24e73663327087","https://www.youtube.com/watch?v=6a8F28WVXlk",0.524641215801239,0.6360557675361633
Jingle Bells,,"https://static.wikia.nocookie.net/disney/images/a/a3/Jingle-bells.jpg/revision/latest/thumbnail/width/360/height/360?cb=20180313213255","https://www.youtube.com/watch?v=3CWJNqyub3o",0.7248429656028748,0.7456174492835999
Jump Jive An' Wail,Louis Prima,"https://m.media-amazon.com/images/I/61SBVOAZCeL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=5GlOE1YTPfY",0.5199000239372253,0.6116083860397339
Just The Way You Are,Billy Joel,"https://i.ytimg.com/vi/HaA3YZ6QdJU/maxresdefault.jpg","https://www.youtube.com/watch?v=HaA3YZ6QdJU",0.3758413791656494,0.4871358871459961
Lean on Me,Bill Withers,"https://i.scdn.co/image/ab67616d0000b273f8560af696925c50080dcc35","https://www.youtube.com/watch?v=fOZ-MySzAac",0.2784101068973541,0.4902082085609436
Let It Be,The Beatles,"https://m.media-amazon.com/images/I/91kCrLkVSxL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=QDYfEBY9NM4",0.46405458450317383,0.5649119019508362
My Favorite Things,From The Sound of Music (1965),"https://i.ytimg.com/vi/0IagRZBvLtw/maxresdefault.jpg","https://www.youtube.com/watch?v=K7uISBk0tcw",0.49940839409828186,0.5786944627761841
My Girl,The Temptations,"https://m.media-amazon.com/images/I/51KWUy7PB4L._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=szbI1vu-cCc",0.5625492334365845,0.6321744322776794
My Wish,Rascal Flatts,"https://i.scdn.co/image/ab67616d0000b2735beeefcef155ebdf6ccb4c95","https://www.youtube.com/watch?v=NSWTZllisl0",0.6268614530563354,0.656944751739502
Never Never Land,From Peter Pan (1953),"https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg0c38FA-FLVA7_gyjQQ3eiaKprrvbgF1K6fnsMZgaIVwOpAiCdqAJujTMr7Q_ZZj34FMj9qKTl9mLrZRs13EVrY3_cyGASkmj6atFK5Mpmp0aJqOhUr5Kia5Pr_xKvaTLbYzlfftjC-kM/s1600/Never+Neverland+Disney+map.jpg","https://www.youtube.com/watch?v=PuHixDALrAg",0.2653471827507019,0.33702048659324646
No Day But Today,From Rent (2005),"https://cdn.forumcomm.com/dims4/default/71c9321/2147483647/strip/true/crop/400x267+0+67/resize/840x560!/quality/90/?url=https%3A%2F%2Ffcc-cue-exports-brightspot.s3.us-west-2.amazonaws.com%2Fgrandforksherald%2Fbinary%2Fcopy%2F96%2Fe4%2Fb844af2ac5c9f11767e05cc38cdd%2F459844-52011-rent-binary-1187427.jpg","https://www.youtube.com/watch?v=O-w_RNchAsk",0.3451615273952484,0.5111817121505737
No One Is Alone,From "Into The Woods","https://i.ytimg.com/vi/unVTf5_p_1A/maxresdefault.jpg","https://www.youtube.com/watch?v=unVTf5_p_1A",0.2432335764169693,0.32400548458099365
"Ob-La-Di, Ob-La-Da",The Beatles,"https://townsquare.media/site/295/files/2021/11/attachment-ob-la-di-ob-la-da.jpg","https://www.youtube.com/watch?v=9x5WY_jmsko",0.6509024500846863,0.7063725590705872
The River of Dreams,Billy Joel,"https://m.media-amazon.com/images/I/218AHB61JPL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=hSq4B_zHqPM",0.5194844603538513,0.5986161828041077
Seasons of Love,From Rent (2005),"https://i.ytimg.com/vi/Xy-xRpbL0ac/hqdefault.jpg","https://www.youtube.com/watch?v=hj7LRuusFqo",0.30147096514701843,0.4207543432712555
Someone to Watch Over Me,George and Ira Gershwin,"https://i.scdn.co/image/ab67616d0000b2730b2b2c85cc59b41120d17b4f","https://www.youtube.com/watch?v=gDhF-PsDuCw",0.24741318821907043,0.40390440821647644
Somewhere Over The Rainbow,From The Wizard of Oz (1939),"https://i.ytimg.com/vi/zSWG80dkwIE/maxresdefault.jpg","https://www.youtube.com/watch?v=V1bFr2SWP1I",0.27679112553596497,0.47594064474105835
Stand By Me,Ben E. King,"https://i.scdn.co/image/ab67616d0000b273183e806643d90f9279e83a74","https://www.youtube.com/watch?v=hwZNL7QVJjE",0.2774064838886261,0.39414963126182556
"Sunrise, Sunset",From Fiddler on the Roof (1964),"https://i1.sndcdn.com/artworks-000258139619-yk393d-t500x500.jpg","https://www.youtube.com/watch?v=03rzUoyq9K0",0.28428348898887634,0.3539395034313202
Good Riddance (Time of Your Life),Green Day,"https://m.media-amazon.com/images/I/91fcZ9S9oEL._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=CnQ8N1KacJc",0.37351998686790466,0.5668257474899292
Top of The World,The Carpenters,"https://static.stereogum.com/uploads/2019/04/The-Carpenters-Top-Of-The-World-1556304895.jpg","https://www.youtube.com/watch?v=vupwAFMXLkA",0.3464789390563965,0.5312780737876892
Twist and Shout,The Beatles,"https://i.discogs.com/VHkB2i2gUE_i3aact8gcuKtaK9GCT4ahKcN7Iv1xhzw/rs:fit/g:sm/q:90/h:573/w:580/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNzU5/MzktMTQ0MTU0NzAw/MC04ODAzLmpwZWc.jpeg","https://www.youtube.com/watch?v=2RicaUqd9Hg",0.6680719256401062,0.6743009686470032
Under The Boardwalk,The Drifters,"https://i.ebayimg.com/images/g/bGEAAOSw-X9mPBIy/s-l1200.png","https://www.youtube.com/watch?v=EPEqRMVnZNU",0.4798983633518219,0.5990267395973206
When You Wish Upon a Star,From Pinocchio (1940),"https://i.scdn.co/image/ab67616d0000b27350f9a2e8f1102e1f5a76d369","https://www.youtube.com/watch?v=pguMUFyJ3_U",0.26370757818222046,0.28331243991851807
Wide Open Spaces,Dixie Chicks,"https://m.media-amazon.com/images/I/81oRfvVHT2L._UF1000,1000_QL80_.jpg","https://www.youtube.com/watch?v=dom7VlltBUc",0.5178187489509583,0.6476938128471375
You Are My Sunshine,Jimmie Davis,"https://mediaproxy.salon.com/width/1200/https://media2.salon.com/2013/05/you_are_my_sunshine.jpg","https://www.youtube.com/watch?v=FeKRtRvo7Qc",0.24463388323783875,0.4524296820163727
You Gotta Be,"Des'ree","https://i.ytimg.com/vi/aWHMYYH9ikw/hq720.jpg?sqp=-oaymwE7CK4FEIIDSFryq4qpAy0IARUAAAAAGAElAADIQj0AgKJD8AEB-AHUBoAC4AOKAgwIABABGBMgRyh_MA8=&rs=AOn4CLD_VDps3vg67iH2BrtixI9513iiEA","https://www.youtube.com/watch?v=pO40TcKa_5U",0.3081493377685547,0.525860071182251
You Raise Me Up,Josh Groban,"https://i.scdn.co/image/ab67616d0000b2737a04cb2e05a97a56a35aa340","https://www.youtube.com/watch?v=aJxrX42WcjQ",0.36082321405410767,0.48295074701309204
Your Smiling Face,James Taylor,"https://i.scdn.co/image/ab67616d0000b2735965e1d70e919f2259c1dc90","https://www.youtube.com/watch?v=ZSsfNlS42Cc",0.458232581615448,0.6098427176475525
You've Got a Friend,James Taylor,"https://static.stereogum.com/uploads/2019/02/James-Taylor-Youve-Got-A-Friend-1549048909-517x520.jpg","https://www.youtube.com/watch?v=xEkIou3WFnM",0.25669413805007935,0.48243850469589233
You've Got a Friend in Me,Randy Newman,"https://i.scdn.co/image/ab67616d0000b2739e26f06f82a65f3ceb6c259c","https://www.youtube.com/watch?v=0hG-2tQtdlE",0.3155558705329895,0.534412145614624
